,store_name,city,zip_code,store_location,county,category_name,vendor_name,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,year,month,day,day_of_week
0,"giggle juice liquor station, llc",anamosa,52205,POINT (-91.29083400000002 42.108203),jones,cocktails / rtd,mango bottling,tooters ala bama slama,12,375,5.75,8.63,1,8.63,0.37,0.09,2016,8,29,0
1,fareway stores,oskaloosa,52577,POINT (-92.648062 41.292614),mahaska,distilled spirits specialty,gunsandmore,sipp'n sweet corn,12,375,10.5,15.75,60,945.0,22.5,5.94,2012,9,5,2
2,hy-vee,cedar rapids,52405,POINT (-91.697941 41.97447),linn,aged dark rum,phillips beverage company,cross keys rum,12,750,10.07,15.11,36,543.96,27.0,7.13,2019,11,4,0
3,hy-vee,urbandale,50322,POINT (-93.739105 41.629364),polk,corn whiskies,cedar ridge vineyards llc,cedar ridge malted rye barrel urbandale,1,180000,6100.0,9150.0,1,9150.0,180.0,47.55,2015,12,3,3
4,hy-vee,davenport,52804,POINT (-90.611972 41.538207),scott,straight rye whiskies,mississippi river distilling co,cody road rye,6,750,19.33,29.0,18,522.0,13.5,3.57,2012,11,29,3
5,costco wholesale,west des moines,50266,POINT (-93.806489 41.561342),dallas,single malt scotch,william grant & sons inc,balvenie 12yr doublewood single malt scotch,12,750,33.6,50.4,120,6048.0,90.0,23.78,2015,10,12,0
6,hy-vee,des moines,50317,POINT (-93.573845 41.604312),polk,decanters & specialty packages,jim beam brands,knob creek w/2-50mls,6,850,20.47,30.71,6,184.26,5.1,1.35,2015,1,22,3
7,sam's club,cedar rapids,52402,POINT (-91.67969 42.031819),linn,decanters & specialty packages,diageo americas,bailey's original irish cream w/4 shot glasses,6,750,13.25,19.88,78,1550.64,58.5,15.45,2015,10,12,0
8,wal-mart,spencer,51301,POINT (-95.152474 43.126816),clay,decanters & specialty packages,jim beam brands,maker's mark recipe and glasses,6,750,15.74,23.61,36,849.96,27.0,7.13,2012,10,31,2
9,hy-vee,des moines,50311,POINT (-93.673222 41.600361),polk,peach brandies,constellation wine company,paul masson peach grande amber brandy,24,375,3.05,4.58,5,22.9,1.88,0.5,2014,11,20,3
10,bootleggin' barzini's fin,coralville,52241,POINT (-91.565517 41.672672),johnson,irish whiskies,pernod ricard usa,jameson,24,375,6.74,10.11,5,50.55,1.88,0.5,2014,2,5,2
11,hy-vee,altoona,50009,POINT (-93.465301 41.644041),polk,decanters & specialty packages,sidney frank importing co.,jagermeister w/flask,12,750,12.05,18.08,96,1735.68,72.0,19.02,2013,9,11,2
12,dewitt travel mart,dewitt,52742,POINT (-90.538952 41.821779),clinton,single barrel bourbon whiskies,four roses distillery,four roses single barrel,6,750,21.17,31.76,18,571.68,13.5,3.56,2020,8,10,0
13,wal-mart,windsor heights,50311,POINT (-93.716991 41.594787),polk,temporary &  specialty packages,mhw ltd,rumchata holiday vap with 100ml,6,750,12.5,18.75,30,562.5,22.5,5.94,2020,10,28,2
14,wal-mart,washington,52353,POINT (-91.660194 41.296202),washington,temporary &  specialty packages,mhw ltd,rumchata peppermint bark,12,750,13.0,19.5,36,702.0,27.0,7.13,2020,10,28,2
15,hy-vee,marshalltown,50158,POINT (-92.912817 42.039205),marshall,miscellaneous schnapps,sazerac company  inc,99 peppermint mini,10,600,5.94,8.91,3,26.73,1.8,0.48,2015,10,6,1
17,pearl city tobacco & liquor outlet,muscatine,52761,POINT (-91.05788 41.413877),muscatine,american vodka,diageo americas,smirnoff vodka 80 prf,24,375,4.75,7.13,1,171.12,0.37,0.09,2016,8,29,0
